id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ cho quy trình khắc phục (resolution) trong phiên bản cập nhật v2026.1 [2].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [2].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about SLA changes for ticket P1.,5,Retrieved: 1/1 expected sources,4,LLM-as-Judge (gpt-4o): Missing minor detail about previous version not changing SLA. | missing: ['Phiên bản trước (v2025.3) không thay đổi SLA này.'],variant_hybrid
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [2].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [2].,5,LLM-as-Judge (gpt-4o): The answer directly and fully addresses the question about VPN usage and device limit.,5,Retrieved: 2/2 expected sources,3,"LLM-as-Judge (gpt-4o): Missing important details about VPN software and policy references. | missing: ['VPN software is Cisco AnyConnect', 'VPN is mandatory according to HR Leave Policy', 'Information from IT Helpdesk FAQ']",variant_hybrid
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about refund eligibility for Flash Sale purchases.,5,Retrieved: 1/1 expected sources,4,LLM-as-Judge (gpt-4o): Missing minor detail about policy reference. | missing: ['Reference to Điều 3 của chính sách.'],variant_hybrid
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,LLM-as-Judge (gpt-4o): The answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): The answer directly and fully addresses the question about store credit percentage.,5,Retrieved: 1/1 expected sources,4,"LLM-as-Judge (gpt-4o): Missing minor detail about the option being non-mandatory. | missing: ['This is an option, not mandatory.']",variant_hybrid
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access tạm thời trong trường hợp khẩn cấp, tối đa 24 giờ sau khi được Tech Lead phê duyệt. Sau 24 giờ, cần có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",4,"LLM-as-Judge (gpt-4o): Answer mostly grounded, but 'contractor from outside' not explicitly mentioned in context.",5,LLM-as-Judge (gpt-4o): Directly answers both parts of the question about access and requirements.,5,Retrieved: 1/1 expected sources,1,"LLM-as-Judge (gpt-4o): Misses most core content from expected answer. | missing: ['Approval from IT Manager and CISO', 'Processing time of 5 working days', 'Mandatory training on security policy']",variant_hybrid
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): The answer directly and fully addresses the question about the process and duration of temporary access.,5,Retrieved: 2/2 expected sources,4,LLM-as-Judge (gpt-4o): Missing minor detail about on-call contact method. | missing: ['Contact on-call via hotline ext. 9999 (24/7) according to SLA P1.'],variant_hybrid
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,LLM-as-Judge (gpt-4o): Answer is fully grounded as it makes no claims beyond the context.,1,LLM-as-Judge (gpt-4o): The answer does not address the question about the penalty for SLA P1 violation.,,No expected sources,1,"LLM-as-Judge (gpt-4o): Model answer misses most core content. | missing: ['No penalty or handling method specified for SLA P1 violation.', 'sla-p1-2026.pdf describes process and target, not penalties.']",variant_hybrid
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Đối với nghỉ ốm, yêu cầu thông báo cho Line Manager trước 9:00 sáng ngày nghỉ, và nếu nghỉ trên 3 ngày liên tiếp thì cần giấy tờ y tế [1]. Con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,LLM-as-Judge (gpt-4o): All claims are directly supported by the provided context.,5,LLM-as-Judge (gpt-4o): Directly answers both parts of the question with clear comparison.,5,Retrieved: 1/1 expected sources,4,LLM-as-Judge (gpt-4o): Missing minor detail about HR Portal for annual leave. | missing: ['Annual leave request must be made through HR Portal.'],variant_hybrid
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,4,LLM-as-Judge (gpt-4o): Correctly answers the question but does not specify where to change the password.,5,Retrieved: 1/1 expected sources,3,"LLM-as-Judge (gpt-4o): Missing important information on how to change password. | missing: ['Access https://sso.company.internal/reset to change password.', 'Contact Helpdesk via ext. 9000 for assistance.']",variant_hybrid
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Answer directly and fully addresses the question about refund policy applicability.,5,Retrieved: 1/1 expected sources,4,LLM-as-Judge (gpt-4o): Missing minor detail about the effective date of version 4. | missing: ['Effective date of version 4 is 01/02/2026.'],variant_hybrid
